"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","GeneSymbol","EntrezID"
"100157427_TGI_at",-3.66415782614482,-6.14881063892773,-15.7422585109647,2.95935448341893e-40,1.1121846019585e-35,79.3016731382261,"Yes","PLP1",5354
"100125437_TGI_at",-5.46400549524695,-4.68729905813164,-11.5449087391764,2.08977716870648e-25,2.61793351847757e-21,46.5046717209435,"Yes","CLEC4M",10332
"100143103_TGI_at",-3.28489191491322,-3.01573800022573,-11.3217226985701,1.19401047509807e-24,1.12183254187839e-20,44.8282436640616,"Yes","DBH",1621
"100148175_TGI_at",-2.34521386592288,-6.03950795797006,-11.2329476178823,2.38040328039262e-24,1.78920632167431e-20,44.1645199505506,"Yes","SLITRK6",84189
"100142211_TGI_at",4.1773697312629,1.61314461242132,10.6542211732397,2.034601741112e-22,1.27440671057452e-18,39.8847490534467,"Yes","PTTG1",9232
"100139036_TGI_at",4.00483321125761,0.131275848862129,10.108455809511,1.23703084840958e-20,6.6414419064184e-17,35.9321689216617,"Yes","NDC80",10403
"100130173_TGI_at",-3.01340880066389,-3.68514029155456,-9.81058200982242,1.11858709071627e-19,4.2038740043299e-16,33.8133803240973,"Yes","CLEC4G",339390
"100136733_TGI_at",-3.43624907124754,-5.38829608197764,-9.76811017208635,1.52740828266325e-19,5.21845982536819e-16,33.5136511368578,"Yes","CCBE1",147372
"100145874_TGI_at",4.44946590341405,-0.135251624819278,9.55733166732975,7.0999117598953e-19,1.90592059828847e-15,32.0353072751539,"Yes","ANLN",54443
"100149880_TGI_at",4.04727512199798,-0.494094818521224,9.5430768882608,7.87283320064503e-19,1.97251211564428e-15,31.9358889008986,"Yes","MND1",84057
"100162823_TGI_at",-3.13004549389632,-4.31638696612184,-9.44255005335906,1.62815458548338e-18,3.82433160197727e-15,31.2368420847155,"Yes","MT1JP",4498
"100160380_TGI_at",4.99248850655563,-0.618290062237267,9.38723441933,2.42459984241618e-18,5.06229507098249e-15,30.8537495633834,"Yes","ASPM",259266
"100148143_TGI_at",4.53791993529154,0.699643594510465,9.33200965220152,3.60412173892064e-18,7.12895279958503e-15,30.4724103369217,"Yes","TOP2A",7153
"100160970_TGI_at",4.0574089928862,-0.953806367796767,9.17607864261366,1.09686320064897e-17,2.06111564033947e-14,29.4018515086952,"Yes","CDCA8",55143
"100137540_TGI_at",2.97232882999567,-0.636628148705685,9.06689185761977,2.37759253316724e-17,4.06157648097688e-14,28.6577765103749,"Yes","CKAP2",26586
"100124706_TGI_at",5.07398455089784,0.789104328499915,9.04732655511548,2.72975624877754e-17,4.46042171050249e-14,28.5249381385416,"Yes","TOP2A",7153
"100133144_TGI_at",-3.51859196683045,-2.16668141775908,-9.02438138456447,3.20912902633757e-17,5.02522862782577e-14,28.3693451985504,"Yes","PTH1R",5745
"100138076_TGI_at",3.84437190415796,1.01245709336066,9.00169754299515,3.76494768397514e-17,5.65977055436615e-14,28.2157300700751,"Yes","UBE2T",29089
"100144880_TGI_at",2.5458565984113,0.452027229450482,8.97274860976006,4.61485598637179e-17,6.67059683383941e-14,28.0199862993879,"Yes","RACGAP1",29127
"100155800_TGI_at",4.40166372836474,1.14544378666442,8.96037166809064,5.03393009329781e-17,7.00685780615994e-14,27.9363998590287,"Yes","UBE2C",11065
"100129151_TGI_at",3.80243599257939,0.0159886278531637,8.80256861964789,1.51627382486489e-16,1.89948676286908e-13,26.876154231471,"Yes","HMMR",3161
"100151603_TGI_at",3.81194689251344,0.147521416750455,8.70016824815479,3.08374996785297e-16,3.73849971909194e-13,26.1936662965648,"Yes","PRC1",9055
"100146395_TGI_at",4.17885116626699,-0.368125524429906,8.64563342575767,4.49230490028799e-16,5.27593133633197e-13,25.8320071828114,"Yes","CEP55",55165
"100160738_TGI_at",-4.81118511422844,-3.8990925987571,-8.58287093196459,6.91531608846941e-16,7.64386497755463e-13,25.4173638472095,"Yes","STAB2",55576
"100156128_TGI_at",4.73244912879589,-1.03322051442591,8.36259536069763,3.09948680777144e-15,3.14824089755855e-12,23.9757722242641,"Yes","PBK",55872
"100129234_TGI_at",-2.87952449328894,-5.10767276364254,-8.30694578455043,4.51190734858718e-15,4.46227636775272e-12,23.6150136915636,"Yes","CCBE1",147372
"100163016_TGI_at",4.60675170736299,0.0759624436763814,8.30101685146793,4.69566503526822e-15,4.52493547065257e-12,23.5766615373819,"Yes","SKA1",220134
"100149037_TGI_at",-4.94130330962132,-4.40811647570999,-8.29351049519938,4.93897079369348e-15,4.64041000921471e-12,23.5281286861296,"Yes","SLITRK3",22865
"100148028_TGI_at",-3.10838335368749,-5.60081116504429,-8.24650327650464,6.7728029229078e-15,6.20818242557856e-12,23.2247892787757,"Yes","HHIP",64399
"100159789_TGI_at",2.49096817712446,-0.661220826577586,8.21781536140342,8.20800427936483e-15,7.15615141487231e-12,23.0401666813004,"Yes","CCDC99",54908
"100133116_TGI_at",4.37896011851778,-1.22613976012555,8.21474799308979,8.37823059588052e-15,7.15615141487231e-12,23.0204490800049,"Yes","DLGAP5",9787
"100157409_TGI_at",-2.06280889820258,-5.7488539289647,-8.1783531706266,1.06851300515199e-14,8.92374572436047e-12,22.7868313159757,"Yes","LGI1",9211
